asset_name;tahun_bulan;open;high;low;close;volume
BNB;2021-01;37.3746;47.0981;3.8144;4.4276;18898999513.0
BNB;2021-02;44.3091;342.8796;11.9735;209.5744;122028876493.0
BNB;2021-03;209.9513;316.4865;25.0613;302.0634;109661910015.0
BNB;2021-04;302.2455;637.4423;31.9849;624.0806;178737768744.0
BNB;2021-05;622.4693;690.9319;30.7944;354.3293;146862616411.0
BNB;2021-06;353.7825;432.3081;26.4601;303.2959;79211167226.0
BNB;2021-07;303.5274;339.1677;13.29;333.5496;49749767961.0
BNB;2021-08;332.2927;518.7563;40.0752;464.4187;66760825277.0
BNB;2021-09;464.2729;510.0576;36.9652;387.0573;59925799119.0
BNB;2021-10;38.7636;539.9388;41.6706;524.3644;64570070639.0
BNB;2021-11;524.7382;669.3458;22.42;622.6699;80405088661.0
BNB;2021-12;621.8129;650.2532;495.1323;511.7083;63870991050.0
BNB;2022-01;511.9104;532.0956;18.31;375.2773;84104399663.0
BNB;2022-02;375.0992;444.2886;35.6185;395.6124;47693175772.0
BNB;2022-03;395.6241;451.9611;360.3018;428.9161;54068965963.0
BNB;2022-04;42.9124;459.8056;16.29;377.7678;55167230563.0
BNB;2022-05;377.7657;412.4004;38.3428;320.4851;63775385603.0
BNB;2022-06;32.0472;323.8851;21.4231;219.3001;38608308080.0
BNB;2022-07;21.9529;301.2097;23.2102;283.5795;39049264274.0
BNB;2022-08;283.6295;336.2837;27.2806;279.2381;38209345752.0
BNB;2022-09;279.2513;299.1763;25.9994;284.1923;25812104854.0
BNB;2022-10;284.2734;336.7953;26.4523;326.3607;24373827093.0
BNB;2022-11;326.2779;388.7155;10.53;300.7943;42722804274.0
BNB;2022-12;300.7544;301.4797;24.3953;246.3492;21367466768.0
BNB;2023-01;246.3329;322.7462;24.4784;312.3611;17539133618.0
BNB;2023-02;312.2771;337.3205;283.6964;301.4748;16694454179.0
BNB;2023-03;301.5103;346.4451;30.1098;13.21;18474039541.0
BNB;2023-04;317.0598;350.0723;30.8465;337.6455;21041891968.0
BNB;2023-05;337.6052;339.3917;30.6998;306.8667;14496929395.0
BNB;2023-06;306.8828;308.3961;30.5649;240.3698;16727991930.0
BNB;2023-07;240.3869;261.1026;23.3476;241.1207;15855392214.0
BNB;2023-08;241.1281;248.5116;21.6214;216.5978;14006470634.0
BNB;2023-09;216.5985;221.0099;21.0142;214.8213;11433150481.0
BNB;2023-10;214.8003;236.7501;21.8305;226.4399;11008246168.0
BNB;2023-11;226.4182;269.9176;24.2695;227.6838;23107989899.0
BNB;2023-12;227.6888;337.4258;22.6496;312.4357;32486490577.0
BNB;2024-01;312.3859;332.7492;12.37;300.3511;32721901807.0
BNB;2024-02;300.3511;427.0468;13.33;399.7787;36289269153.0
BNB;2024-03;399.6724;641.4811;42.3787;606.9086;94949494805.0
BNB;2024-04;606.9087;626.9841;22.88;57.8488;45986937272.0
BNB;2024-05;578.4875;629.8611;57.5148;593.5223;50179462019.0
BNB;2024-06;593.5223;720.6726;56.7785;581.7711;61047988508.0
BNB;2024-07;581.6746;605.1912;52.1038;576.3682;55438146309.0
BNB;2024-08;576.3682;597.5438;57.5769;53.2897;57584460981.0
BNB;2024-09;53.2897;617.3324;59.6501;567.2601;51504612364.0
BNB;2024-10;567.2601;611.7815;57.1325;576.0345;52569812868.0
BNB;2024-11;576.0345;687.3417;63.8923;654.3292;73318424921.0
BNB;2024-12;654.3292;793.3505;62.5975;700.9869;73880285694.0
BNB;2025-01;700.9869;745.1536;63.9956;677.3754;57534292446.0
BNB;2025-02;677.3399;730.8347;59.5265;587.4516;61602507924.0
BNB;2025-03;587.4458;644.8743;56.8126;605.0728;55233779657.0
BNB;2025-04;605.0728;619.8625;58.3397;599.6817;47764209865.0
BNB;2025-05;599.6872;695.8684;59.3599;658.5013;55270892717.0
BNB;2025-06;658.4996;673.9506;64.0548;657.0253;47789445181.0
BNB;2025-07;657.0258;859.5629;72.1087;783.6668;70155270170.0
BNB;2025-08;783.6647;899.7001;79.8662;857.8168;81891755107.0
BNB;2025-09;857.8126;1080.4777;84.9158;1008.4835;88990808507.0
BNB;2025-10;1008.4835;1336.5656;107.3454;1088.9554;177161055873.0
BNB;2025-11;1088.9443;1097.1382;83.2048;877.5768;85219553738.0
BNB;2025-12;877.5616;926.5171;82.1301;863.2574;66771031867.0
BNB;2026-01;863.2582;954.8583;765.6923;780.4846;71718434315.0
BNB;2026-02;780.4641;788.1553;58.2205;617.2464;59119381824.0
BNB;2026-03;617.2444;685.6273;61.1675;617.0492;51862962657.0
BNB;2026-04;617.0488;651.9832;57.0684;63.6403;40007580833.0
Bitcoin;2021-01;28994.0098;41946.7383;2895.3373;33114.3594;26012258293661.0
Bitcoin;2021-02;33114.5781;58330.5703;32384.2285;45137.7695;57508615279685.0
Bitcoin;2021-03;45159.5039;61683.8633;5198.1832;5891.8832;1681184264687.0
Bitcoin;2021-04;58926.5625;64863.0977;5388.7918;57750.1758;1844481772417.0
Bitcoin;2021-05;57714.6641;59519.3555;3455.1082;37332.8555;14450235339825.0
Bitcoin;2021-06;3729.3793;41295.2695;3018.4502;35040.8359;1189647451707.0
Bitcoin;2021-07;35035.9844;42235.5469;3117.5709;41626.1953;819103381204.0
Bitcoin;2021-08;41460.8438;50482.0781;4428.2418;47166.6875;1014674184428.0
Bitcoin;2021-09;47099.7734;52853.7656;4082.9668;43790.8945;1102139678824.0
Bitcoin;2021-10;43816.7422;66930.3906;5820.6918;6131.8957;1153077903534.0
Bitcoin;2021-11;61320.4492;68530.3359;5655.0793;57005.4258;1053270271383.0
Bitcoin;2021-12;56907.9648;59041.6836;5023.6707;46306.4453;957047184722.0
Bitcoin;2022-01;46311.7461;47881.4062;4244.7043;3848.3125;923979037681.0
Bitcoin;2022-02;38481.7656;45661.1719;4168.1957;43193.2344;671335993325.0
Bitcoin;2022-03;43194.5039;48086.8359;4066.8043;45538.6758;830943838435.0
Bitcoin;2022-04;45554.1641;47313.4766;3931.5418;3771.4875;830115888649.0
Bitcoin;2022-05;37713.2656;39902.9492;26350.4902;31792.3105;1105689315990.0
Bitcoin;2022-06;31792.5547;31957.2852;1770.8623;19784.7266;923939211678.0
Bitcoin;2022-07;19820.4707;24572.5801;1902.7082;23336.8965;927582363389.0
Bitcoin;2022-08;23336.7188;25135.5898;1979.9582;20049.7637;894192654543.0
Bitcoin;2022-09;2005.0498;22673.8203;1891.5668;19431.7891;1123272250385.0
Bitcoin;2022-10;19431.1055;20988.3945;1897.1459;20495.7734;957903424925.0
Bitcoin;2022-11;20494.8984;21446.8867;15599.0469;17168.5664;23202633931913.0
Bitcoin;2022-12;1716.8002;18318.5312;1679.4459;16547.4961;541356716034.0
Bitcoin;2023-01;16547.9141;23919.8906;2091.9127;23139.2832;690994018045.0
Bitcoin;2023-02;23137.8359;25134.1172;2446.8373;23147.3535;723968574897.0
Bitcoin;2023-03;23150.9297;29159.9023;2308.8627;28478.4844;883299703608.0
Bitcoin;2023-04;2847.3332;31005.6074;2908.8043;29268.8066;511540319004.0
Bitcoin;2023-05;29227.1035;29668.9082;2671.0873;27219.6582;443473015479.0
Bitcoin;2023-06;27218.4121;31389.5391;2479.7168;3047.7252;481734214225.0
Bitcoin;2023-07;30471.8477;31814.5156;2905.9502;29230.1113;382224489090.0
Bitcoin;2023-08;2923.0873;30176.7969;2580.4998;25931.4727;437724169499.0
Bitcoin;2023-09;25934.0215;27488.7637;2578.1123;2696.7916;337637313742.0
Bitcoin;2023-10;26967.3965;35150.4336;2721.6002;34667.7812;476425634860.0
Bitcoin;2023-11;34657.2734;38415.3398;3677.3668;37712.7461;570863267380.0
Bitcoin;2023-12;37718.0078;44705.5156;4127.4543;42265.1875;721704910480.0
Bitcoin;2024-01;42280.2344;48969.3711;4029.7457;42582.6055;825918941347.0
Bitcoin;2024-02;42569.7617;63913.1328;4237.4832;61198.3828;830721862621.0
Bitcoin;2024-03;61168.0625;73750.0703;6458.0918;71333.6484;11643614904073.0
Bitcoin;2024-04;71333.4844;72715.3594;6179.5457;60636.8555;1016068331704.0
Bitcoin;2024-05;60609.4961;71946.4609;5655.5293;67491.4141;874291509757.0
Bitcoin;2024-06;67489.6094;71907.8516;6058.5332;6267.8293;726773965644.0
Bitcoin;2024-07;62673.6055;69987.5391;5371.7375;64619.25;953395573307.0
Bitcoin;2024-08;64625.8398;65593.2422;5847.2875;58969.8984;11834114399624.0
Bitcoin;2024-09;58969.8008;66480.6953;5742.5168;63329.5;879117914822.0
Bitcoin;2024-10;63335.6055;73577.2109;5889.5207;70215.1875;993732418048.0
Bitcoin;2024-11;70216.8984;99655.5;66803.6484;96449.0547;61555992557438.0
Bitcoin;2024-12;96461.3359;108268.4453;9651.4875;93429.2031;48687002286605.0
Bitcoin;2025-01;93425.1016;109114.8828;9278.8125;102405.0234;24438459188238.0
Bitcoin;2025-02;102402.7969;102755.7266;78248.9141;84373.0078;12641875890814.0
Bitcoin;2025-03;84373.8672;95043.4375;76624.25;82548.9141;1049435373908.0
Bitcoin;2025-04;82551.9219;95768.3906;8276.9375;94207.3125;1060974068310.0
Bitcoin;2025-05;94212.8594;111970.1719;9691.3875;104638.0938;1496397538233.0
Bitcoin;2025-06;104637.2969;110561.4219;10499.7625;107135.3359;1424277758118.0
Bitcoin;2025-07;107144.3828;123091.6094;105157.3984;115758.2031;30474734860569.0
Bitcoin;2025-08;115738.9531;124457.1172;10755.9625;108236.7109;12344322531404.0
Bitcoin;2025-09;108228.75;117911.7891;11021.1625;114056.0859;1450418370470.0
Bitcoin;2025-10;114057.5938;126198.0703;103598.4297;109556.1641;38260476898108.0
Bitcoin;2025-11;10955.8625;111167.3125;10146.8875;90394.3125;57263977005983.0
Bitcoin;2025-12;90389.1094;94601.5703;8792.4875;87508.8281;1487947448337.0
Bitcoin;2026-01;87508.0469;97860.6016;8923.3875;78621.1172;1257318501232.0
Bitcoin;2026-02;7862.6125;79322.6094;60074.2031;66995.8594;25257645592340.0
Bitcoin;2026-03;67005.8828;75988.3984;6497.1707;68233.3125;1294169596743.0
Bitcoin;2026-04;68232.8906;79468.0;65725.2578;77455.3125;887693925769.0
Cardano;2021-01;1.26;2.75;0.12;2.4;104668145607.0
Cardano;2021-02;2.39;6.76;0.1018;1.3081;242699671996.0
Cardano;2021-03;1.3098;1.4732;0.1088;1.1933;167521776104.0
Cardano;2021-04;1.1936;1.5578;0.1097;1.3524;126250958948.0
Cardano;2021-05;1.3524;2.4618;0.1028;1.7428;225790700991.0
Cardano;2021-06;1.7384;1.8886;0.1003;1.3835;92189659135.0
Cardano;2021-07;1.3838;1.4937;0.06;1.3223;49070969540.0
Cardano;2021-08;0.06;2.9674;1.2632;2.7725;157094718355.0
Cardano;2021-09;2.7699;3.0992;0.09;2.1145;152163558180.0
Cardano;2021-10;2.1162;2.3697;0.2122;0.1965;85909279864.0
Cardano;2021-11;0.1965;2.3759;0.1502;1.5549;79882611746.0
Cardano;2021-12;1.5528;1.7569;0.04;1.3102;55621974811.0
Cardano;2022-01;1.3101;1.6313;0.1012;1.0523;59144644694.0
Cardano;2022-02;1.0522;6.93;0.05;6.67;41803253326.0
Cardano;2022-03;6.67;6.76;0.1169;1.1419;41482902313.0
Cardano;2022-04;0.1142;6.83;0.1151;5.25;29127094993.0
Cardano;2022-05;5.25;6.28;0.03;4.34;38224922384.0
Cardano;2022-06;4.34;4.63;0.32;3.19;34841447479.0
Cardano;2022-07;3.19;3.83;0.0003;0.36;27857760810.0
Cardano;2022-08;3.59;4.12;0.03;3.1;22116550071.0
Cardano;2022-09;3.1;3.64;0.0003;3.02;21828874969.0
Cardano;2022-10;3.02;3.04;0.03;2.82;16115138828.0
Cardano;2022-11;2.82;3.03;0.02;2.21;14410448708.0
Cardano;2022-12;2.21;2.28;0.17;1.71;6042560515.0
Cardano;2023-01;1.71;2.77;0.02;2.71;12124133561.0
Cardano;2023-02;2.71;2.91;0.27;2.45;10145100889.0
Cardano;2023-03;2.45;2.83;0.02;2.77;12065442907.0
Cardano;2023-04;2.77;3.2;0.27;2.76;10938616032.0
Cardano;2023-05;2.76;2.76;0.25;2.6;5991689968.0
Cardano;2023-06;2.6;2.65;0.0002;0.2;9048009355.0
Cardano;2023-07;0.2;2.6;0.0002;2.14;8553875549.0
Cardano;2023-08;2.14;2.16;0.0002;1.77;6405804890.0
Cardano;2023-09;1.77;1.8;0.17;0.18;3458695073.0
Cardano;2023-10;0.18;2.12;0.0002;2.04;4966422353.0
Cardano;2023-11;2.04;2.84;0.24;2.61;11376278045.0
Cardano;2023-12;2.61;4.71;0.28;4.13;26535656638.0
Cardano;2024-01;4.13;4.42;0.32;3.46;15565626301.0
Cardano;2024-02;3.46;4.9;0.0004;4.55;16348134748.0
Cardano;2024-03;4.55;5.53;0.0005;4.52;27757085057.0
Cardano;2024-04;4.52;4.33;0.0004;3.06;15303146277.0
Cardano;2024-05;3.06;3.48;0.3;3.11;10877597477.0
Cardano;2024-06;3.11;3.39;0.26;2.72;10040027904.0
Cardano;2024-07;2.72;3.16;0.0003;2.7;11259722322.0
Cardano;2024-08;2.7;2.79;0.03;2.4;9415658945.0
Cardano;2024-09;2.4;2.88;0.23;2.59;7325675832.0
Cardano;2024-10;2.59;2.68;0.24;2.37;8029875688.0
Cardano;2024-11;2.37;6.86;0.23;1.0789;73045244756.0
Cardano;2024-12;1.0789;6.92;0.1041;5.86;62963152425.0
Cardano;2025-01;5.86;6.94;0.07;6.54;43573238734.0
Cardano;2025-02;6.54;6.64;0.44;4.4;28904100500.0
Cardano;2025-03;4.4;6.8;0.48;4.59;53609860308.0
Cardano;2025-04;4.59;5.13;0.37;4.74;24555205747.0
Cardano;2025-05;4.74;5.98;0.46;4.76;29488731699.0
Cardano;2025-06;4.76;5.07;0.38;3.97;19976635345.0
Cardano;2025-07;3.97;6.46;0.56;5.14;42650773529.0
Cardano;2025-08;5.14;6.84;0.48;5.63;55328575997.0
Cardano;2025-09;5.63;6.62;0.0006;5.61;39338363848.0
Cardano;2025-10;5.61;6.11;0.23;4.23;41713559859.0
Cardano;2025-11;4.23;4.29;0.0004;2.89;26952066720.0
Cardano;2025-12;2.89;3.35;0.24;2.31;20012697372.0
Cardano;2026-01;2.31;3.03;0.24;2.04;19643505833.0
Cardano;2026-02;2.04;2.17;0.2;1.96;18492117629.0
Cardano;2026-03;1.96;2.04;0.17;1.68;16479598948.0
Cardano;2026-04;1.68;1.86;1.63;1.74;11704995694.0
Dogecoin;2021-01;0.0047;0.35;0.0046;0.26;69176619504.0
Dogecoin;2021-02;0.26;0.59;0.048;0.33;134644162344.0
Dogecoin;2021-03;0.33;0.44;0.048;0.37;38710898712.0
Dogecoin;2021-04;0.37;3.04;0.17;2.34;351156872866.0
Dogecoin;2021-05;2.34;5.12;0.0002;2.26;414762218700.0
Dogecoin;2021-06;2.26;3.09;0.02;1.77;100113990064.0
Dogecoin;2021-07;1.76;1.81;0.14;1.45;52083116246.0
Dogecoin;2021-08;1.44;2.42;0.02;1.93;105862617136.0
Dogecoin;2021-09;1.93;2.22;0.0;1.42;53499067956.0
Dogecoin;2021-10;1.42;2.35;0.14;1.95;99274048636.0
Dogecoin;2021-11;1.95;2.06;0.17;1.49;51443079613.0
Dogecoin;2021-12;1.49;1.53;0.11;1.18;41345562838.0
Dogecoin;2022-01;1.18;1.41;0.85;0.98;33515229253.0
Dogecoin;2022-02;0.98;1.19;0.0001;0.93;22443865574.0
Dogecoin;2022-03;0.93;1.06;0.08;0.96;21546128286.0
Dogecoin;2022-04;0.96;1.2;0.0001;0.89;46860312737.0
Dogecoin;2022-05;0.89;0.95;0.0;0.6;27262573514.0
Dogecoin;2022-06;0.6;0.62;0.053;0.46;19084110888.0
Dogecoin;2022-07;0.46;0.53;0.067;0.47;13910802977.0
Dogecoin;2022-08;0.47;0.62;0.0;0.43;16644457758.0
Dogecoin;2022-09;0.43;0.45;0.0;0.43;10761069393.0
Dogecoin;2022-10;0.43;1.04;0.0;0.09;40267150421.0
Dogecoin;2022-11;0.09;1.09;0.077;0.74;49738850753.0
Dogecoin;2022-12;0.74;0.75;0.067;0.49;15636694935.0
Dogecoin;2023-01;0.49;0.68;0.077;0.67;17303932740.0
Dogecoin;2023-02;0.67;0.69;0.01;0.56;15650955315.0
Dogecoin;2023-03;0.56;0.57;0.063;0.077;12819277281.0
Dogecoin;2023-04;0.077;0.71;0.081;0.55;27312865153.0
Dogecoin;2023-05;0.55;0.56;0.48;0.5;7422348068.0
Dogecoin;2023-06;0.5;0.51;0.061;0.46;8267800013.0
Dogecoin;2023-07;0.46;0.58;0.064;0.54;15064851952.0
Dogecoin;2023-08;0.54;0.54;0.073;0.44;9829583943.0
Dogecoin;2023-09;0.44;0.45;0.062;0.43;5518240682.0
Dogecoin;2023-10;0.43;0.52;0.058;0.47;7761886555.0
Dogecoin;2023-11;0.47;0.6;0.069;0.58;21100778032.0
Dogecoin;2023-12;0.58;0.73;0.089;0.62;23655304142.0
Dogecoin;2024-01;0.62;0.65;0.01;0.55;15096122846.0
Dogecoin;2024-02;0.55;0.93;0.081;0.81;19964515781.0
Dogecoin;2024-03;0.81;1.57;0.1;1.53;109268071992.0
Dogecoin;2024-04;1.53;1.53;0.0001;0.93;64588245005.0
Dogecoin;2024-05;0.93;1.21;0.0001;1.1;47099922037.0
Dogecoin;2024-06;1.1;1.15;0.0001;0.86;22681826142.0
Dogecoin;2024-07;0.86;0.99;0.07;0.08;25451336992.0
Dogecoin;2024-08;0.08;0.85;0.094;0.7;22259241186.0
Dogecoin;2024-09;0.7;0.9;0.07;0.79;19421249305.0
Dogecoin;2024-10;0.79;1.24;0.07;1.12;42430440831.0
Dogecoin;2024-11;1.12;3.32;0.0;0.29;310153489112.0
Dogecoin;2024-12;0.29;3.36;0.0003;2.19;189847325318.0
Dogecoin;2025-01;2.19;3.01;0.24;2.28;118024857847.0
Dogecoin;2025-02;2.28;2.3;0.17;0.14;62348601441.0
Dogecoin;2025-03;0.14;1.68;0.11;1.16;44907404647.0
Dogecoin;2025-04;1.16;1.34;0.11;1.2;37362116331.0
Dogecoin;2025-05;1.2;1.8;0.15;1.34;59275634748.0
Dogecoin;2025-06;1.34;1.42;0.0001;1.15;31505639740.0
Dogecoin;2025-07;1.15;1.99;0.11;1.46;81886700367.0
Dogecoin;2025-08;1.46;1.77;0.01;1.48;81512739273.0
Dogecoin;2025-09;1.48;2.12;0.14;1.62;101240358825.0
Dogecoin;2025-10;1.62;1.86;0.12;1.29;99130813314.0
Dogecoin;2025-11;1.29;1.31;0.0001;1.02;61518595471.0
Dogecoin;2025-12;1.02;1.06;0.01;0.81;34104020181.0
Dogecoin;2026-01;0.81;1.08;0.0001;0.72;44899911736.0
Dogecoin;2026-02;0.72;0.81;0.095;0.65;37525346554.0
Dogecoin;2026-03;0.65;0.72;0.093;0.64;38359580990.0
Dogecoin;2026-04;0.64;0.69;0.01;0.68;34470602765.0
Ethereum;2021-01;737.7084;1467.7849;118.7311;1314.9862;1181644236261.0
Ethereum;2021-02;1314.8552;2036.2865;65.5;141.6049;1007718046121.0
Ethereum;2021-03;1417.1511;1947.8378;76.88;1918.3621;730832219123.0
